Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts ev6	Normalized Counts ev6	RPKM ev6	Expression ev6
141325	141431	141967	142079	+	hpt	b0125	hypoxanthine phosphoribosyltransferase	589	130408	186	242
142857	142670	142008	141969	-	can	b0126	carbonic anhydrase	413	91334	105	137
142428	142779	143705		+	yadG	b0127	putative ABC superfamily transporter ATP-binding subunit	583	128946	106	139
	143702	144472	144576	+	yadH	b0128	inner membrane putative ABC superfamily transporter permease	200	44330	44	57
144577	144577	145017	145017	+	yadI	b0129	putative PTS Enzyme IIA	106	23536	40	53
145081	145081	146310	146310	+	yadE	b0130	putative polysaccharide deacetylase lipoprotein	285	63033	39	51
146724	146694	146314	146314	-	panD	b0131	aspartate 1-decarboxylase	219	48463	97	127
146836	146968	147870	147870	+	yadD	b0132	transposase_31 family protein	421	93091	79	103
148795	148795	147944	147944	-	panC	b0133	pantothenate synthetase	525	116077	104	136
149680	149601	148807	148807	-	panB	b0134	3-methyl-2-oxobutanoate hydroxymethyltransferase	216	47827	46	60
150953	150953	149715	149715	-	yadC	b0135	putative fimbrial-like adhesin protein	1047	231498	143	186
150000			150051	+	-	predicted RNA	antisense: yadC	112	24902	367	478
150259			150377	+	-	predicted RNA	antisense: yadC	225	49743	321	418
150545			150595	+	-	predicted RNA	antisense: yadC	81	17975	270	352
151625	151599	151003	150954	-	yadK	b0136	putative fimbrial-like adhesin protein	319	70660	90	118
151617			151641	+	-	predicted RNA	antisense: yadL	39	8692	267	347
152242	152231	151626	151626	-	yadL	b0137	putative fimbrial-like adhesin protein	313	69238	87	114
152828	152812	152243	152243	-	yadM	b0138	putative fimbrial-like adhesin protein	445	98433	132	172
155460	155426	152829	152829	-	htrE	b0139	putative outer membrane usher protein	719	159016	47	61
156201	156201	155461	155461	-	yadV	b0140	putative periplasmic pilin chaperone	123	27196	28	36
156971	156883	156299	156299	-	yadN	b0141	putative fimbrial-like adhesin protein	90	20081	26	34
	157732	157253	157240	-	folK	b0142	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	176	39088	62	81
159176	159126	157729		-	pcnB	b0143	poly(A) polymerase	190	42116	23	30
	160112	159186		-	gluQ	b0144	glutamyl-Q tRNA(Asp) synthetase	82	18331	15	19
160632	160604	160149	160145	-	dksA	b0145	transcriptional regulator of rRNA transcription, DnaK suppressor protein	3181	703402	1184	1542
161486	161486	160782	160633	-	sfsA	b0146	sugar fermentation stimulation protein A	676	149642	163	212
	162031	161501		-	ligT	b0147	2'-5' RNA ligase	31	7022	10	13
	162105	164534		+	hrpB	b0148	putative ATP-dependent helicase	187	41538	13	17
164672	164730	167264	167279	+	mrcB	b0149	fused glycosyl transferase and transpeptidase	418	92510	28	36
167467	167484	169727	169727	+	fhuA	b0150	ferrichrome outer membrane transporter	1057	233791	80	104
169753	169778	170575		+	fhuC	b0151	iron-hydroxamate transporter subunit	104	23176	22	29
	170575	171465		+	fhuD	b0152	iron-hydroxamate transporter subunit	58	12865	11	14
	171462	173444		+	fhuB	b0153	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components	138	30583	11	15
174888	174882	173602	173578	-	hemL	b0154	glutamate-1-semialdehyde aminotransferase (aminomutase)	194	42951	25	33
174886	175107	176528	176528	+	clcA	b0155	H(+)/Cl(-) exchange transporter	168	37203	20	26
174968			174923	-	-	predicted RNA	-	94	20972	350	455
176529	176610	176954	176954	+	erpA	b0156	iron-sulfur cluster insertion protein	170	37798	84	109
177661	177624	177001	176882	-	yadS	b0157	UPF0126 family inner membrane protein	100	22185	27	35
	178462	177662	177662	-	btuF	b0158	vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily	107	23864	22	29
179248	179153	178455		-	mtn	b0159	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	486	107559	118	153
179030	179237	180754	180805	+	dgt	b0160	deoxyguanosine triphosphate triphosphohydrolase	634	140298	71	92
180818	180884	182308	182308	+	degP	b0161	serine endoprotease (protease Do), membrane-associated	454	100549	54	70
182462	182463	183620	183884	+	cdaR	b0162	carbohydrate diacid regulon transcriptional regulator; autoregulator	196	43516	28	37
184170	184095	183709	183680	-	yaeH	b0163	UPF0325 family protein	698	154343	306	398
185117	185069	184257	184171	-	yaeI	b0164	phosphodiesterase with model substrate bis-pNPP	157	34799	32	42
185967	185947	185123	185123	-	dapD	b0166	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	780	172493	160	209
188711	188650	185978	185968	-	glnD	b0167	uridylyltransferase	564	124705	35	46
189619	189506	188712	188712	-	map	b0168	methionine aminopeptidase	1613	356655	344	448
189712			189847	+	tff	b4414	-	3685	814744	4602	5990
189860			189756	-	-	predicted RNA	antisense: tff	345	76460	559	728
189848	189874	190599	190799	+	rpsB	b0169	30S ribosomal subunit protein S2	10697	2365081	2502	3257
190800	190857	191708	191708	+	tsf	b0170	translation elongation factor EF-Ts	4522	999929	901	1173
191709	191855	192580	192580	+	pyrH	b0171	uridylate kinase	1306	288835	305	397
192581	192872	193429	193442	+	frr	b0172	ribosome recycling factor	1192	263610	362	472
193477	193521	194717	194787	+	dxr	b0173	1-deoxy-D-xylulose 5-phosphate reductoisomerase	135	30039	19	25
194788	194903	195664	195664	+	ispU	b0174	undecaprenyl pyrophosphate synthase	913	202032	203	265
195677	195677	196534	196534	+	cdsA	b0175	CDP-diglyceride synthase	540	119384	106	139
196458			196438	-	-	predicted RNA	antisense: cdsA	33	7326	268	348
196535	196546	197898	197918	+	rseP	b0176	inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA; cleaved signal peptide endoprotease	1359	300534	170	222
197928	197928	200360	200360	+	bamA	b0177	BamABCDE complex OM biogenesis outer membrane pore-forming assembly factor	2243	496002	156	203
200361	200482	200967	200967	+	skp	b0178	periplasmic chaperone	961	212607	336	437
200968	200971	201996	202084	+	lpxD	b0179	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	858	189768	142	184
202085	202101	202556	202559	+	fabZ	b0180	(3R)-hydroxymyristol acyl carrier protein dehydratase	1359	300669	506	659
202560	202560	203348		+	lpxA	b0181	UDP-N-acetylglucosamine acetyltransferase	757	167516	163	212
	203348	204496		+	lpxB	b0182	tetraacyldisaccharide-1-P synthase	243	53732	35	46
	204493	205089	205110	+	rnhB	b0183	ribonuclease HII, degrades RNA of DNA-RNA hybrids	87	19289	24	32
205126	205126	208608	208608	+	dnaE	b0184	DNA polymerase III alpha subunit	1471	325338	71	93
208609	208621	209580	209580	+	accA	b0185	acetyl-CoA carboxylase, carboxytransferase, alpha subunit	448	99072	79	103
209665	209679	211820	211876	+	ldcC	b0186	lysine decarboxylase 2, constitutive	704	155838	55	72
211877	211877	212266	212330	+	yaeR	b0187	putative lyase	51	11321	22	29
	212331	213629		+	tilS	b0188	tRNA(Ile)-lysidine synthetase	65	14376	8	11
	213932	213678	213655	-	rof	b0189	modulator of Rho-dependent transcription termination	40	8913	26	34
214263	214125	213925		-	yaeP	b4406	UPF0253 family protein	176	38975	148	193
214291	214291	214836		+	yaeQ	b0190	PDDEXK superfamily protein	191	42275	59	77
	214833	215255	215255	+	arfB	b0191	alternative stalled-ribosome rescue factor B; peptidyl-tRNA hydrolase, ribosome-attached	122	27177	49	64
214872			214843	-	-	predicted RNA	antisense: arfB	48	10627	272	354
215256	215269	215979	216059	+	nlpE	b0192	lipoprotein involved with copper homeostasis and adhesion	413	91460	98	128
217003	217003	216179	216179	-	yaeF	b0193	putative lipoprotein	260	57490	53	69
218800	218775	217057	217057	-	proS	b0194	prolyl-tRNA synthetase	691	152970	68	88
	219594	218887		-	tsaA	b0195	tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase, SAM-dependent	65	14514	15	20
219995	219995	219591		-	rcsF	b0196	putative outer membrane protein	76	16854	31	41
220967	220928	220113	220113	-	metQ	b0197	DL-methionine transporter subunit	1325	293094	275	359
	221621	220968	220968	-	metI	b0198	DL-methionine transporter subunit	537	118733	139	181
222714	222645	221614		-	metN	b0199	DL-methionine transporter subunit	208	46040	34	44
222805	222833	223408	223436	+	gmhB	b0200	D,D-heptose 1,7-bisphosphate phosphatase	230	50944	67	88
223771			225312	+	rrsH	b0201	16S ribosomal RNA of rrnH operon	835	184745	92	119
225381			225457	+	ileV	b0202	Ile tRNA	1468	324583	3238	4215
225500			225575	+	alaV	b0203	Ala tRNA	304	67212	679	884
225759			228662	+	rrlH	b0204	23S ribosomal RNA of rrnH operon	2019	446390	118	153
228756			228875	+	rrfH	b0205	5S ribosomal RNA of rrnH operon	17	3911	25	32
228928			229004	+	aspU	b0206	Asp tRNA	199	44010	439	571
229164	229167	229970	229976	+	dkgB	b0207	2,5-diketo-D-gluconate reductase B	441	97546	93	121
230949	230881	229967	229566	-	yafC	b0208	LysR family putative transcriptional regulator	113	25178	21	27
231117	231122	231922	231922	+	yafD	b0209	endo/exonuclease/phosphatase family protein	256	56787	54	70
231926	231926	232549	232549	+	yafE	b0210	putative S-adenosyl-L-methionine-dependent methyltransferase	203	45097	55	72
233975	233955	232597	232597	-	mltD	b0211	putative membrane-bound lytic murein transglycosylase D	907	200586	113	147
234849	234782	234027	234008	-	gloB	b0212	hydroxyacylglutathione hydrolase	426	94350	95	124
234792	234816	235538	235538	+	yafS	b0213	putative S-adenosyl-L-methionine-dependent methyltransferase	156	34559	36	47
236002	236002	235535	235501	-	rnhA	b0214	ribonuclease HI, degrades RNA of DNA-RNA hybrids	117	25875	42	55
235934	236067	236798	236890	+	dnaQ	b0215	DNA polymerase III epsilon subunit	348	76976	80	105
236931			237007	+	aspV	b0216	Asp tRNA	136	30104	300	390
237237	237335	238120	238163	+	yafT	b0217	lipoprotein	422	93478	91	118
239064	238736	238257	238257	-	ykfM	b4586	lethality reduction protein, putative inner membrane protein	263	58203	93	121
238666			238719	+	-	predicted RNA	antisense: ykfM	117	26029	370	482
239184			239219	+	-	predicted RNA	-	59	13056	278	362
240217	240189	239419	239402	-	yafV	b0219	putative NAD(P)-binding C-N hydrolase family amidase	267	59065	58	76
240320	240343	240816	240816	+	ivy	b0220	inhibitor of c-type lysozyme, periplasmic	710	157125	254	331
	243303	240859		-	fadE	b0221	acyl coenzyme A dehydrogenase	206	45601	14	18
243543	243543	244121	244173	+	gmhA	b0222	D-sedoheptulose 7-phosphate isomerase	239	52887	70	91
	244327	245094		+	yafJ	b0223	putative amidotransfease	86	19148	19	24
245884	245805	245065	245065	-	yafK	b0224	L,D-transpeptidase-related protein	525	116185	120	156
245567			245600	+	-	predicted RNA	antisense: yafK	61	13670	308	402
246239	246239	245961	245961	-	yafQ	b0225	translation inhibitor toxin of toxin-antitoxin pair YafQ/DinJ	125	27791	76	99
246518	246502	246242	246240	-	dinJ	b0226	antitoxin of YafQ-DinJ toxin-antitoxin system	438	96880	285	371
246669	246712	247461	247461	+	yafL	b0227	putative lipoprotein and C40 family peptidase	96	21285	21	28
247637	247637	248134	248134	+	rayT	b0228	RAYT REP element-mobilizing transposase; TnpA(REP)	133	29502	45	59
250883	250898	251953	251953	+	dinB	b0231	DNA polymerase IV	825	182540	132	172
251954	252005	252298	252300	+	yafN	b0232	antitoxin of the YafO-YafN toxin-antitoxin system	245	54186	141	184
252301	252301	252699	252701	+	yafO	b0233	mRNA interferase toxin of the YafO-YafN toxin-antitoxin system	183	40544	78	101
252709	252709	253161	253161	+	yafP	b0234	putative acyl-CoA transferase	94	20919	35	46
255854	255716	254259	254259	-	pepD	b0237	aminoacyl-histidine dipeptidase (peptidase D)	1103	243934	128	167
255904	255977	256435	256435	+	gpt	b0238	xanthine phosphoribosyltransferase; xanthine-guanine phosphoribosyltransferase	145	32256	53	70
256519	256527	257771	257910	+	frsA	b0239	fermentation-respiration switch protein; PTS Enzyme IIA(Glc)-binding protein; pNP-butyrate esterase activity	453	100288	61	80
258678			258815	+	-	predicted RNA	-	316	70064	390	507
258934			258945	+	-	predicted RNA	-	18	4059	259	338
260281	260100	259045	259045	-	phoE	b0241	outer membrane phosphoporin protein E	251	55565	40	52
260388	260388	261491	261491	+	proB	b0242	gamma-glutamate kinase	159	35228	24	31
261492	261503	262756	262756	+	proA	b0243	gamma-glutamylphosphate reductase	322	71274	43	56
262871			262946	+	thrW	b0244	Thr tRNA	322	71262	720	937
263104			263019	-	-	predicted RNA	-	380	84195	752	979
263689	263669	263328	263322	-	ykfI	b0245	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system	44	9739	21	28
	264007	263690		-	yafW	b0246	CP4-6 prophage; antitoxin of the YkfI-YafW toxin-antitoxin system	35	7765	18	24
	264247	264026		-	ykfH	b4504	uncharacterized protein	19	4237	14	19
	264732	264256		-	ykfG	b0247	CP4-6 prophage; RadC-like JAB domain protein	24	5502	8	11
265303	265206	264748	264733	-	yafX	b0248	CP4-6 prophage; uncharacterized protein	64	14158	23	30
	265543	265304		-	ykfF	b0249	CP4-6 prophage; uncharacterized protein	21	4805	15	20
266109	266087	265620	265620	-	ykfB	b0250	CP4-6 prophage; uncharacterized protein	163	36199	59	77
266553	266553	266110	266110	-	yafY	b0251	lipoprotein, inner membrane; overproduction stimulates degP expression; CP4-6 prophage	95	21156	36	47
	268005	267184		-	yafZ	b0252	CP4-6 prophage; conserved protein	54	12085	11	14
269072	268960	268097	268097	-	ykfA	b0253	CP4-6 prophage; putative GTP-binding protein	136	30125	26	34
270182	270182	269289	269116	-	perR	b0254	CP4-6 prophage; putative DNA-binding transcriptional regulator	213	47185	40	52
270449	270603	271754	271754	+	insI1	b0256	IS30 transposase	750	165864	110	143
272580			272654	+	eyeA	b4690	-	5	1314	13	17
275145	275117	274101	273969	-	insH1	b0259	IS5 transposase and trans-activator	224	49531	37	48
	275325	276728		+	mmuP	b0260	CP4-6 prophage; putative S-methylmethionine transporter	130	28915	15	20
	276715	277647		+	mmuM	b0261	CP4-6 prophage; S-methylmethionine:homocysteine methyltransferase	37	8339	6	8
	278802	277756		-	afuC	b0262	CP4-6 prophage; putative ferric transporter subunit	65	14394	10	13
	279681	279178	279161	-	insB1	b0264	IS1 transposase B	66	14612	22	28
	279875	279600		-	insA	b0265	IS1 repressor TnpA	29	6494	18	23
279917			279936	+	-	predicted RNA	-	34	7633	293	381
	281983	280829		-	yagA	b0267	CP4-6 prophage; putative DNA-binding transcriptional regulator	56	12420	8	10
	282278	283186		+	yagE	b0268	2-keto-3-deoxy gluconate (KDG) aldolase; CP4-6 prophage	20	4455	3	4
	283201	285168		+	yagF	b0269	CP4-6 prophage; dehydratase family protein	42	9460	3	4
	285395	286777		+	yagG	b0270	CP4-6 prophage; putative sugar transporter	23	5226	2	3
	286789	288399		+	yagH	b0271	CP4-6 prophage; putative xylosidase/arabinosidase	12	2781	1	1
	289162	288404		-	yagI	b0272	CP4-6 prophage; putative DNA-binding transcriptional regulator	72	16096	16	21
290360	290305	289301	289301	-	argF	b0273	ornithine carbamoyltransferase 2, chain F; CP4-6 prophage	392	86860	66	86
	291152	290649	290361	-	insB1	b0274	IS1 transposase B	63	14023	21	27
	291346	291071		-	insA	b0275	IS1 repressor TnpA	23	5161	14	18
